,Unnamed: 0,Account_ID,Name,Twitter_username,Political_party
563,867,876894308309147650,Gil Cisneros,GilCisnerosCA,Republican Party
564,871,600408823,Gilberto Hinojosa,HinojosaTX,Democratic Party
569,876,17454769,Glenn Beck,glennbeck,Republican Party
570,877,1284438674,Glenn Davis,DelGlennDavis,Republican Party
571,878,2976606250,Glenn Grothman,RepGrothman,Republican Party
572,879,83469886,Glenn Hegar,Glenn_Hegar,Republican Party
573,880,18967498,Glenn Thompson,CongressmanGT,Republican Party
578,885,1051127714,Grace Meng,RepGraceMeng,Democratic Party
579,886,161411080,Grace Napolitano,GraceNapolitano,Democratic Party
581,891,90651198,Greg Abbott,gregabbott_tx,Republican Party
582,892,244123121,Greg Fischer,louisvillemayor,Democratic Party
583,899,1082369392229400576,Greg Pence,GregPenceIN,Republican Party
584,901,890038958104735744,Greg Pence,GregPenceIN,Republican Party
585,903,1080885078425784320,Greg Stanton,gregstantonaz,Democratic Party
586,905,218292287,Greg Stanton,gregstantonaz,Democratic Party
587,907,1083125649609506816,Greg Steube,RepGregSteube,Republican Party
588,909,21924842,Greg Steube,RepGregSteube,Republican Party
591,914,926446070812602371,Gregorio Sablan,Kilili_Sablan,Democratic Party
592,917,22812754,Gregory Meeks,GregoryMeeks,Democratic Party
593,919,3420965229,Gregory Richard Gianforte,GregForMontana,Republican Party
596,922,102071743,Gretchen Whitmer,GovWhitmer,Democratic Party
597,923,26051676,Gus Bilirakis,RepGusBilirakis,Republican Party
598,924,477223342,Guy Reschenthaler,reschenthaler,Republican Party
599,926,4205133682,Guy Reschenthaler,reschenthaler,Republican Party
600,928,1283359081,Gwen Graham,GwenGraham,Democratic Party
601,929,22669526,Gwen Moore,RepGwenMoore,Democratic Party
602,930,467823431,Hakeem Jeffries,RepJeffries,Democratic Party
603,931,550401754,Hal Rogers,RepHalRogers,Republican Party
604,932,391445643,Haley Stevens,HaleyLive,Democratic Party
605,933,24745957,Hank Johnson,RepHankJohnson,Democratic Party
606,934,804295,Hans Riemer,hansriemer,Democratic Party
608,936,59525321,Harold Ford Jr.,haroldfordjr,Democratic Party
610,939,275451635,Heather Nauert,HeatherNauert,Republican Party
611,940,262019800,Heather Wilson,HeatherAnWilson,Republican Party
612,942,23220889,Helen Rosenthal,HelenRosenthal,Democratic Party
613,943,210926192,Henry Cuellar,RepCuellar,Democratic Party
614,944,16335288,Henry McMaster,henrymcmaster,Republican Party
615,948,2377732207,Hilda Solis,hildasolis,Democratic Party
616,949,1339835893,Hillary Clinton,HillaryClinton,Democratic Party
617,950,125740073,Hogan Gidley,jhogangidley,Republican Party
619,954,3245135844,Huma Abedin,HumaAbedin,Democratic Party
622,958,1082334352711790593,Ilhan Omar,IlhanMN,Minnesota Democratic–Farmer–Labor Party
623,960,783792992,Ilhan Omar,IlhanMN,Minnesota Democratic–Farmer–Labor Party
624,966,3065062453,Ina Minjarez,vote4ina,Democratic Party
626,968,317997164,Israel O'Quinn,IsraelOQuinn,Republican Party
627,970,52544275,Ivanka Trump,IvankaTrump,Partido Republicano
629,972,45550693,J.B. Pritzker,JBPritzker,Democratic Party
630,973,815241612154417152,Jack Bergman,RepJackBergman,Republican Party
631,974,227392869,Jack Evans,jackevansward2,Democratic Party
632,975,36654245,Jack Kingston,jackkingston,Republican Party
633,976,486694111,Jack Reed,SenJackReed,Democratic Party
634,977,24913074,Jackie Speier,RepSpeier,Democratic Party
636,979,4749863113,Jacky Rosen,RosenforNevada,Democratic Party
637,981,818554054309715969,Jacky Rosen,RosenforNevada,Democratic Party
638,983,328700529,Jacob Frey,Jacob_Frey,Minnesota Democratic–Farmer–Labor Party
639,987,1082086081238102018,Jahana Hayes,RepJahanaHayes,Democratic Party
640,989,991721030631780354,Jahana Hayes,RepJahanaHayes,Democratic Party
644,1000,225921757,James Lankford,SenatorLankford,Republican Party
645,1006,806906355214852096,Jamie Raskin,repraskin,Democratic Party
646,1007,40084369,Jamilah Nasheed,SenatorNasheed,Democratic Party
647,1008,40923070,Jan Brewer,GovBrewer,Republican Party
648,1009,24195214,Jan Schakowsky,janschakowsky,Democratic Party
649,1010,140010098,Jane Kim,janekim,Democratic Party
651,1013,3027557970,Janet Nguyen,SenJanetNguyen,Republican Party
